unique_id,ds,cutoff,config_with_exog__,config_no_exog__,y
Bone,2024-06-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,322.5061,203.65242,116.200005
Bone,2024-07-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,294.2209,240.17601,162.4
Bone,2024-08-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,152.03459,35.404724,59.7
Bone,2024-09-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,102.93293,-6.4543915,56.3
Bone,2024-10-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,117.67613,-6.7490387,50.7
Bone,2024-11-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,167.24,100.222694,266.80002
Bone,2024-12-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,329.51398,347.7179,225.20001
Bone,2025-01-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,293.8838,337.46,400.7
Bone,2025-02-28 00:00:00+00:00,2024-12-31 00:00:00+00:00,124.436295,105.54818,233.5
Bone,2025-03-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,291.68878,269.77722,302.8
Bone,2025-04-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,232.74689,212.9645,377.7
Bone,2025-05-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,247.46822,165.02208,374.2
Bone,2025-06-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,180.20776,182.5985,279.4
Bone,2025-07-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,179.14105,147.35938,98.200005
Bone,2025-08-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,71.7495,29.71405,69.0
Bone,2025-09-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,37.05861,3.200882,113.40001
Bone,2025-10-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,65.80147,60.425514,177.40001
Bone,2025-11-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,145.27763,159.98381,240.8
Bone,2025-12-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,244.16829,243.25294,207.40001
Pinrang,2020-01-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,254.9696,230.0274,310.4
Pinrang,2020-02-29 00:00:00+00:00,2019-12-31 00:00:00+00:00,220.47058,160.05849,250.8
Pinrang,2020-03-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,253.83055,241.30835,240.40001
Pinrang,2020-04-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,217.16293,243.33403,254.4
