unique_id,ds,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum
Bone,2000-09-30 00:00:00+00:00,36.6,771.1721,2361.1807,277.94284,30019.777,1396.875,691.33
Bone,2000-10-31 00:00:00+00:00,248.3,806.07196,2581.3943,150.30803,30968.082,2597.3333,596.08
Bone,2000-11-30 00:00:00+00:00,109.6,795.5721,2527.3828,131.53534,29932.889,2529.6667,605.31
Bone,2000-12-31 00:00:00+00:00,164.6,819.5616,2590.2922,179.39879,30919.527,2671.2083,582.75
Bone,2001-01-31 00:00:00+00:00,222.7,803.4303,2647.6936,141.53302,30942.535,2839.7917,595.08
Bone,2001-02-28 00:00:00+00:00,160.9,726.73285,2336.2773,216.36629,27912.25,2588.6667,488.48
Bone,2001-03-31 00:00:00+00:00,184.2,809.55945,2615.8142,161.41031,30961.51,2851.375,586.45
Bone,2001-04-30 00:00:00+00:00,249.50002,775.82837,2623.812,134.66364,29978.387,2665.3333,541.55
Bone,2001-05-31 00:00:00+00:00,110.3,798.022,2692.2407,197.91765,31008.387,2094.7917,567.37
Bone,2001-06-30 00:00:00+00:00,173.1,750.4617,2624.8894,226.10017,30003.678,2344.875,460.75
Bone,2001-07-31 00:00:00+00:00,94.5,765.13654,2563.3535,307.16718,31022.46,1594.5834,576.26
Bone,2001-08-31 00:00:00+00:00,34.800003,769.9178,2433.3123,343.7666,31038.291,1907.0416,629.88
Bone,2001-09-30 00:00:00+00:00,56.3,781.1117,2305.1265,291.60696,30017.73,1324.7916,697.65
Bone,2001-10-31 00:00:00+00:00,60.199997,843.8616,2347.8052,212.33965,30988.348,1860.2917,744.91
Bone,2001-11-30 00:00:00+00:00,186.7,807.1096,2426.3513,151.60994,29969.49,2706.8333,606.17
Bone,2001-12-31 00:00:00+00:00,237.2,798.3074,2651.8738,168.75702,30992.742,2869.0,512.87
Bone,2002-01-31 00:00:00+00:00,300.0,802.9949,2670.025,142.85695,30979.186,2886.9167,556.5
Bone,2002-02-28 00:00:00+00:00,123.7,734.42456,2350.3042,153.56952,28003.076,2629.3333,519.66
Bone,2002-03-31 00:00:00+00:00,262.5,806.87195,2657.4822,119.71306,30985.246,2587.875,608.05
Bone,2002-04-30 00:00:00+00:00,245.4,777.03253,2607.0986,151.84639,29978.71,2179.9167,556.77997
Bone,2002-05-31 00:00:00+00:00,182.2,792.7345,2692.3386,215.55714,31014.11,1843.0834,537.87
Bone,2002-06-30 00:00:00+00:00,177.5,747.15546,2614.4226,251.13174,30024.416,2081.4167,495.88998
Bone,2002-07-31 00:00:00+00:00,81.9,764.37195,2604.6375,292.68307,31060.562,1714.9584,574.23
Bone,2002-08-31 00:00:00+00:00,26.0,758.972,2406.61,340.4671,31055.395,1533.0834,661.39
Bone,2002-09-30 00:00:00+00:00,6.7000003,772.4263,2214.0388,298.24597,30061.492,1376.6666,723.7
Bone,2002-10-31 00:00:00+00:00,9.3,843.5782,2105.4805,267.58923,31006.053,1437.3334,816.48
Bone,2002-11-30 00:00:00+00:00,106.8,825.493,2264.9663,205.22165,29980.424,1990.4584,694.66
Bone,2002-12-31 00:00:00+00:00,156.4,829.4803,2582.0776,135.6947,30999.469,2438.7083,624.24
Bone,2003-01-31 00:00:00+00:00,208.4,812.54694,2630.2031,179.94948,30998.18,2839.9583,538.76
Bone,2003-02-28 00:00:00+00:00,264.4,736.64954,2362.2224,153.89012,27967.91,2630.0,519.76
Bone,2003-03-31 00:00:00+00:00,237.1,815.49695,2607.9985,141.85387,31001.598,2703.5,628.54
Bone,2003-04-30 00:00:00+00:00,205.5,786.64716,2581.2114,177.05956,29994.574,2260.4167,602.75
Bone,2003-05-31 00:00:00+00:00,212.2,794.1782,2683.9058,230.57124,31004.41,2116.7083,541.55
Bone,2003-06-30 00:00:00+00:00,151.90001,748.20966,2589.312,311.7972,30028.5,1768.875,518.71
Bone,2003-07-31 00:00:00+00:00,165.40001,759.38654,2629.443,305.68582,31047.754,1935.6666,544.08
Bone,2003-08-31 00:00:00+00:00,64.3,776.6928,2575.489,295.0893,31039.56,1593.9584,610.33
Bone,2003-09-30 00:00:00+00:00,28.9,773.38464,2345.8428,278.70386,30038.383,1673.875,691.02997
Bone,2003-10-31 00:00:00+00:00,42.4,834.57196,2393.5781,237.70161,31005.002,1890.7916,690.43
Bone,2003-11-30 00:00:00+00:00,164.59999,810.76587,2423.4365,160.66805,29975.676,2334.9167,647.45
Bone,2003-12-31 00:00:00+00:00,393.0,804.4053,2654.6394,197.36441,30958.402,2973.875,488.0
Bone,2004-01-31 00:00:00+00:00,222.09999,812.549,2638.8032,137.8346,30982.35,2779.0417,596.93
Bone,2004-02-29 00:00:00+00:00,194.09999,758.68896,2438.0427,199.04349,28967.965,2617.9167,509.82
Bone,2004-03-31 00:00:00+00:00,202.8,817.2282,2628.1716,202.6247,30956.625,2767.75,574.7
Bone,2004-04-30 00:00:00+00:00,144.9,786.7784,2557.1484,197.2243,29999.133,2282.4167,609.65
Bone,2004-05-31 00:00:00+00:00,170.0,811.00323,2640.2954,182.42401,30982.43,1980.75,554.96
Bone,2004-06-30 00:00:00+00:00,111.5,745.5388,2520.2795,300.00336,30056.996,2001.0416,489.51
Bone,2004-07-31 00:00:00+00:00,147.90001,756.8386,2621.4248,346.25385,31036.408,1797.125,546.2
Bone,2004-08-31 00:00:00+00:00,8.6,756.6115,2389.2488,351.92618,31063.703,1584.5416,666.08
Bone,2004-09-30 00:00:00+00:00,36.8,768.5471,2261.5857,336.41516,30045.303,1093.8334,714.87
Bone,2004-10-31 00:00:00+00:00,22.8,831.7282,2275.1816,239.54564,31021.908,1782.2916,774.74
Bone,2004-11-30 00:00:00+00:00,113.2,825.58466,2263.5186,187.91261,29978.855,1924.9167,656.85
Bone,2004-12-31 00:00:00+00:00,189.7,825.1657,2575.984,151.57315,30964.775,2650.8333,619.3
Bone,2005-01-31 00:00:00+00:00,112.0,824.6928,2531.1833,164.92015,30971.924,2662.0,583.97
Bone,2005-02-28 00:00:00+00:00,234.8,740.9704,2338.4478,140.721,28015.67,2450.7083,551.64
Bone,2005-03-31 00:00:00+00:00,189.79999,829.3261,2576.86,141.77472,31003.842,2418.125,660.1
